master_line,family,subfamily,category,product_id,description
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010944,"TALADRO ROTOMARTILLO SDS-PLUS 12V 2 FUNC. /1.0 J , 2 X 2.0AH + ACC 14MM MAKITA HR140DWAE1 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010945,"TALADRO PERCUTOR 3/8"" + ATORNILLADOR IMPACTO 12V STANLEY SCHI121S2-B2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010946,"TALADRO ATORNILLADOR IMPACTO 12V 3/8"" DEWALT DCK201C2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010947,"TALADRO PERCUTOR INALAMBRICO 12V 3/8"" (10MM) DEWALT DC727KA "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010948,TALADRO INALAMBRICO 12V DEWALT DC745K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010949,"TALADRO ATORNILLADOR 12V 189W 3/8"" DEWALT DCD710S2 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010950,"TALADRO ATORNILLADOR INALAMBRICO PROFESIONAL 12V 0 - 380/1300RPM 3/8"" BOSCH GSR 120 LI"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010951,"TALADRO ATORNILLADOR INALAMBRICO 12V 0-400 / 0-1500RPM 3/8"" (10MM) STANLEY SCD121S2K-B2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010952,"TALADRO ROTOMARTILLO SDS MAX 6KGR 1200W 1 3/4"" DEWALT D25601K-B2 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010953,"TALADRO ELECTRICO PROFESIONAL DIAM PERF. 50MM, 1200W GBM 50-2 BOSCH 0601.1B4.0E0-000"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010954,"TALADRO ROTOMARTILLO SDS PLUS 32MM 1250W + NUEVO ESMERIL ANGULAR 4 1/2"" 750W ( INC.BROCAS+ CINCELES) STANLEY STHR1232K-K10"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010955,TALADRO ROTOMARTILLO SDS PLUS 1250W STANLEY STHR1232K-B2
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010956,"TALADRO PERCUTOR 1/2"", 1300W, 0-1100 / 0-31000 (SBEV1300-2S 600786500) METABO"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010957,TALADRO MARTILLO DEMOLEDOR 13J 1150W BOSCH GSH 5 CE
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010958,TALADRO ROTOMARTILLO SDS MAX 15 AMP DEWALT D25773K-B2
